ID,att_0,att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,NewRating
828,1.0,,,,,0.0,,,,,,0.0,,,1.0
708,,,,,,,,,,,,,,,1.0
1009,,,,,,,,,,,,,,,0.0
1263,,,,,,,,,,,,,,,0.0
1020,,,,,,,,,,,,,,,0.0
1383,,,,,,,,0.75,,,,1.0,3.0,,0.0
1381,,,,1.0,0.7,,1.0,,1.0,0.7,2.0,,2.8,2.0,1.0
1138,,0.7,,,,,,,,,1.0,,0.7,,1.0
1259,,,1.0,,,,,,,,,,,,0.0
1016,,,,,,,,,,,,,,,0.0
1379,,,,,,,,,,,,,,,0.0
1015,,,,,,,,,,,,,,,0.0
1136,,,,,,,,0.75,0.0,,,,,1.0,1.0
1257,,,,,,,,,,,,,,,1.0
1378,,,1.0,,,,,,,,0.0,1.0,,1.0,1.0
1499,,,,,,,,,,,,,,,0.0
951,,,,,,,,,,,,,,,1.0
1377,,,,,,,,,,,,,,,1.0
1013,,,,,,,,,,,,,,,1.0
1134,,,,,,,,,,,,,,,0.0
1376,,,,,,,,,,,,,,,0.0
1012,,,,,,,,,,,,0.0,,,1.0
1133,,,,,,,,,,,,,,,0.0
1254,,,,,,,,,,,,,,,1.0
712,,,,,,,,,,,,,,,0.0
833,,,,,,,,,,,,,,,1.0
713,,,,,,,,,,,,,,,0.0
955,,,,,,,,,,,,,,,1.0
714,,0.7,,,,,,0.7,,,,,1.4,,1.0
835,,,,,,,,,,,,,,,1.0
956,,,,,,,,,,,,,,,1.0
715,,,0.0,,0.7,,,,,,,1.0,0.7,,1.0
836,,,,,,,,,,,,,,,0.0
959,,,,,,,,,,,,,,,1.0
839,,,,,,,,,1.0,,,,2.0999999999999996,3.0,0.0
1033,,,,,,,,,,,,,,,1.0
1153,,,,,,,,,,,,0.0,,,0.0
1395,,,,,,,,,,,,,,,0.0
1394,,,0.0,,0.7,,,,,,,1.0,0.7,,1.0
1030,,,,,,,,,,,,,,,0.0
1391,2.0,,,,0.64,,0.0,,0.0,,1.0,,0.65,,1.0
1149,,,,,,,,,,,,,,,0.0
1148,,,,,,,,,,,,,,,0.0
1269,,,,,0.67,,0.0,,,,,0.0,,,0.0
840,,,,,,,,,,,,,,,1.0
1026,,,,,,,,,,,,,,,0.0
1268,,,,0.0,,,,,,,,,0.81,,0.0
841,,,,,,,,,,,,,,,1.0
1146,,,,,,,,,,,,,,,0.0
1267,,,,,,,,,,,,,,,0.0
600,,,,,,,,,,,,,,,0.0
842,,,,,,,,,,,,,,,0.0
1024,,,,,,,,,,,,,,,0.0
722,,,,,,,1.0,,,,,1.0,,,1.0
964,,,,,,,,,,,,,,,0.0
1144,,,,,,,,,,,,,,,0.0
602,,,,,,,,,,,,,,,0.0
723,,0.7,,,,,,,,,,,0.7,,1.0
724,,,,,,,,,,,,,,,0.0
966,,,,,,,,,,,,,,,0.0
604,1.0,,,,,0.0,,,,,,0.0,,,1.0
728,,0.7,,,,,,0.7,,,,,2.0999999999999996,,1.0
729,0.0,0.72,,,,0.0,1.0,,,,,1.0,1.75,,1.0
1044,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,1.0
1165,,,,,,,,,,,,,,,0.0
1286,,0.7,0.0,,,,,,0.0,,0.0,0.0,,,1.0
1043,,,,,,,,,,,,,,,1.0
1285,,,,,,,,,,,,,,,0.0
1163,,,,,,,,,,,,,,,0.0
1284,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,1.0
1283,,,,,,,,,,,,,,,0.0
1282,,,,,,,,,,,,,,,0.0
730,,,,,,,,0.75,,,,1.0,3.0,0.0,1.0
972,,,,,,,,,,,,,,,0.0
1037,,,,,,,,,,,,,,,0.0
610,,,,,,,,,,,,,,0.0,0.0
731,,,,,,,,,0.0,,,0.0,0.65,,0.0
852,,,,,,,,,,,,,,,0.0
1036,1.0,,,,0.64,,,,0.0,,,,,,1.0
1157,,,,,,,,,,,,,,,0.0
1278,,,,,,,,,,,,,,,0.0
1035,,,,,,,0.0,,,,,0.0,,,1.0
1156,,,,,,,,,0.0,,,0.0,0.65,,0.0
1398,,,,,,,,,,,,,,,1.0
612,,,,,,,,,,,,,,,0.0
733,,,,,,,,,,,,,,,1.0
854,,,1.0,1.0,,,,,,,0.0,1.0,1.5,1.0,1.0
1034,,,,,,,,,,,,,,,0.0
1155,,,,,,,,,,,,,,,0.0
1397,,,,,,,,,,,,,,,1.0
613,,,,,,,,,,,,,,,0.0
734,,,,,,,,,,,,,,,1.0
614,,,,,,,,,,,,,0.7,,1.0
977,,,,,,,,,,,,,,,1.0
615,,,,,,,,,,,,,,,1.0
616,,,,,,,,,,,,,,,0.0
737,,,,,,,,,,,,,,,0.0
858,,,,,,,,,,,,,,,0.0
979,,,,,,,,,,,,,,,1.0
618,,,,,,,,,0.0,,,0.0,0.65,,1.0
619,,,,,,,,,1.0,,,,,1.0,1.0
1297,,,,,,,,,,,,,,,0.0
1054,,,,,,,,,,,,,,,1.0
1296,,,,,,,,,,,,,,,0.0
1053,,,,1.0,0.7,,1.0,,1.0,0.7,2.0,,2.8,1.0,1.0
1294,,,,,,,,,,,,,,,0.0
1051,,,,,,,,,,,,,,,1.0
1172,0.0,,,0.0,,,,,,,,,0.7,,0.0
1050,,,,,,,,,,,1.0,1.0,,,0.0
1171,,,,,,,,,,,,,,,0.0
1170,,,,,,,,,,,,,,,0.0
1290,,,,,,,,,,,,,,,1.0
981,,,,0.0,,,,,,,1.0,1.0,1.62,,0.0
861,,,,,,,,,,,,,,0.0,1.0
982,,,,,,,,,,,,,,,0.0
620,,,,,,,,,,,,,,,0.0
983,,,,,,,,,,,,,,,0.0
1048,,,,0.0,,,,0.82,,,,,,1.0,1.0
1169,,,,,,,,,,,,,,,0.0
621,,,,,,,,,,,,1.0,2.25,,0.0
863,,0.7,0.0,,,,,,0.0,,,0.0,,,0.0
984,,,,,,,,,,,,,,,0.0
1047,,,,,,,,,,,,,,,1.0
1289,,,,,,,,,,,,1.0,,,1.0
501,,,,,,,,,,,,,,,1.0
622,,,,,,,,,,,,,,,0.0
743,,,,,,,,,,,,,,,0.0
1167,,,,,,,,,,,,,,,1.0
502,,,,,,,,,,,,,,,0.0
744,,,,,,,,,,,,,,,0.0
865,,,,,,,,,,,,,,,1.0
1287,,,,,,,,,,,,,,,0.0
503,,,,,,,,,,,,,,,0.0
624,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,1.0
745,,,,,,,,,,,,,,,0.0
866,,,,,,,,,,,,,,,0.0
987,,,,,,,,,,,,,,,1.0
746,,,,,,,1.0,,,,,,0.7,,1.0
988,,,,,,,,,,,,,,,1.0
506,,,,,,,,,,,,,,,0.0
627,,,,,,,,,,,,,,,0.0
869,,,,0.0,,,,,,,,,0.81,,1.0
628,,,,,,,,,,,,,,,0.0
749,,,,,,,,,,,,,,,0.0
508,,,,,,,,,,,,,,,1.0
629,,,,,,,,,,,,,,,0.0
1066,,,,,,,,,,,,,,,0.0
1065,,,,,,,,,,,,,,,0.0
1185,,,,,,,,,,,,,,,1.0
1182,,,,,,,,,,,,,,,0.0
1181,,,,,,,,,,,,,,,1.0
870,,,,,,,,,,,,,,,0.0
993,,,,,,,,,,,,,,,1.0
510,,,,,,,,,,,,,,,0.0
873,,,,,,,,,,,,,,,1.0
511,,,,,,,,,,,,,,,0.0
632,,,,,,,,,,,,1.0,,,1.0
753,,,,,,,,,,,,,,,1.0
874,,,,,,,,,,,,,,,1.0
995,,,,,,,,,,,,,,,1.0
1179,,,,,,,1.0,,1.0,,1.0,,0.7,1.0,1.0
633,,,,,,,,,,,,,,,0.0
754,,,,,,,,,,,,,,,0.0
996,,,,,,,1.0,,,,,1.0,,,1.0
1299,,,,,,,,,,,,,,,0.0
1056,,,,,,,,,,,,,,,1.0
1177,,,,,,,,,,,,,,,0.0
1298,,,,,,,,,,,,,,,0.0
514,,,,,,,,,,,,,,,0.0
635,,,,1.0,0.7,,1.0,,1.0,0.7,2.0,,2.8,1.0,1.0
756,,,,,,,,,,,,,,,0.0
515,,,,,,,,,,,,,,,1.0
637,,,,,,,,,,,,,,,0.0
879,,,,,,,,,,,,,,,0.0
639,,,,,,,,,,,,,,,0.0
519,,,,,,,,,,,,,,,0.0
1190,,,,,,,,,,,,,,,1.0
1197,,,,,,,,,,,,,,,0.0
1074,,,,0.0,,,0.0,,,,,0.0,0.7,,1.0
1195,,,,,,,,,,,,,0.7,,1.0
1072,,,,0.0,,1.0,1.0,,1.0,,,1.0,0.75,,1.0
1193,,,,,,,,,,,,1.0,,1.0,1.0
1070,,,,,,,,,,,,,,,1.0
880,,,0.0,1.0,0.7,,,,,,,1.0,,,0.0
760,,,,,,,,,,,,0.0,0.75,,0.0
640,,,,,,,,,,,,,,,1.0
520,,,,,,,,,,,,,,,0.0
762,,,,,,,,,,,,,,,0.0
400,,,,,,,,,,,,,,,0.0
522,,,,,,,,,,,,,,,0.0
764,,,,,,,,,,,,,,,0.0
402,,,,,,,,,,,,,,,1.0
523,,,,,,,,,,,,,,,0.0
1189,,,,,,,,,,,,,,,0.0
1067,,,,,,,,,,,,,,,0.0
646,,,,,,,,,,,,,,,1.0
647,,,,0.0,,,,,,,1.0,1.0,2.35,,1.0
889,,,0.0,1.0,0.7,,,,,,,0.0,,,1.0
648,,,,,,,,,,,,,,,0.0
769,,0.7,,,,,,0.7,,,,,1.4,,1.0
407,,,,,,,,,,,,,,,1.0
408,,,,,,,,,,,,,,,1.0
529,1.0,,,1.0,,,1.0,,,,,1.0,,,0.0
1088,,,,,,,,,,,,,,,1.0
1085,,,,,,,,,,,,,,,1.0
890,,,,,,,,,,,,,,,1.0
771,,,,,,,,,,,,,,,0.0
892,,,0.5,0.0,,,,,,,,0.0,0.75,,1.0
530,,,,,,,,,,,,,,,0.0
410,,,,,,,,,,,,,,,1.0
894,,,,,,,,,,,,,,,1.0
774,,,,,,,,,,,,1.0,,1.0,1.0
412,,,,,,,,,,,,,,,1.0
533,,0.7,,,,,,,,,,,0.7,,1.0
775,,,,,,,,,,,,,,,0.0
413,,,,1.0,,,,,,,,0.0,,,1.0
534,,,,,,,,,,,,,,,0.0
655,,,,,,,,,,,,,,,0.0
1079,,,,,,,,,,,,,,,0.0
535,,,,,,,1.0,,1.0,,1.0,,0.7,1.0,1.0
777,,,,,,,,,,,,,,,0.0
1078,,,,,,,,,,,,,,,0.0
1199,,,,,,,,,,,,,,,1.0
899,1.0,,,,0.64,,,,0.0,,,,,,0.0
416,,,,,,,,,,,,,,,0.0
537,,,,,,,,,,,0.0,,,0.0,1.0
418,,,,,,,,,,,,,,,0.0
1090,,,,,,,,,,,,,,,1.0
1097,,,,,,,,,,,,,,,0.0
1094,,,,,,,,,,,,,,,0.0
780,,,,,,,,,,,,,,,0.0
661,,,,,,,,,,,,,,,0.0
782,,,,,,,,,,,,,,,0.0
541,,,,,,,,,,,,,,,0.0
542,,,,,,,,,,,,,,,0.0
663,,,,,,,,,,,,,,,0.0
664,,,,,,,,,,,,,,,0.0
785,0.0,0.72,,,,0.0,1.0,,,,,1.0,0.75,,1.0
302,,,,,,,,,1.0,,,,,1.0,1.0
665,,,,,,,,,,,,,,,0.0
424,,,,,,,,,,,,,,,0.0
545,,,,,,,,,,,,,,,0.0
304,,,,0.0,,,0.0,,,,,0.0,0.7,,0.0
1089,,,,,,,,,,,,,,,0.0
426,,,,,,,,,,,,,,,0.0
547,,,,,,,,,,,,,,,1.0
668,,,,0.0,,,,,,,,,,,0.0
789,,,,,,,,,,,,,,,0.0
306,,,,,,,,,,,,,,,0.0
669,,,,,,,,,,,,,,,1.0
307,,,,,,,,,,,,,,,0.0
549,,,,,,,,,,,,,,,1.0
429,,,,,,,,,,0.72,,1.0,,,1.0
309,,,,,,,,,,,,,,,0.0
790,,,,,,,,,,,,,,,0.0
670,,,,,,,,,,,,,,,1.0
792,,,,,,,,,,,,,,,0.0
430,,,,,0.7,,,,,,1.0,,,0.0,1.0
551,,,,,,,,,,,,,,,0.0
793,,,,,,,,,,,,,,,0.0
431,1.0,,,,,0.0,,,,,,0.0,,,1.0
432,,,,,,,,,0.0,,,,0.65,,0.0
312,,,,,,,,,0.0,,1.0,,,,1.0
433,,,,,,,,,,,,,,,0.0
554,,,,,,,,,,,,,,,0.0
675,,,,,,,,,,,,,,,0.0
313,,,,,,,,,,,,,,,0.0
435,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,1.0
677,,,,,,,,,,,,,,,0.0
678,,,,,,,,,,,1.0,,,0.0,1.0
799,,,,,,,,,,,,,,,1.0
316,,,,,,,,,,,,,,,0.0
437,,,,,,,,,,,1.0,,,,1.0
558,,,,,,,,,,,,,,,1.0
317,,,,,,,,,,,0.0,0.0,,,0.0
680,,,,,,,,,,,,,,,1.0
562,,,,0.0,,,0.0,,,,,0.0,,,0.0
683,,,,,,,,,,,,,,,0.0
321,,,,,,,,,1.0,,,,,1.0,1.0
442,,,,,,,,,1.0,,,,,,0.0
563,,,,,,,,,,,,,,,0.0
201,,,,,,,,,,,,,,,0.0
322,,,,,,,,,,,,,,,0.0
564,,,,,,,,,,,,,,,0.0
203,,,,,,,,,,,,,,,0.0
324,,,,,,,,,,,,,,,1.0
445,,,,0.0,0.7,,0.0,,,,,,,,0.0
566,,,,,,,,,,,,,,,0.0
446,,,,,,,,,,,,,,,0.0
567,,,,,,,,,,,1.0,1.0,0.74,0.0,0.0
205,,,,,,,,,,,,,,,1.0
326,,,,,,,,,,,,,,,1.0
327,,,,,,,,,,,,,,,1.0
207,,,,,,,,,,,1.0,1.0,,,1.0
329,,,,,,,,,,,,,,,0.0
209,,,,,,,,,,,,,,,0.0
570,,,,,,,,,,,,,,,0.0
571,,,,,,,,,,,,,,,0.0
451,,,,,,,,,,,1.0,,,,0.0
572,,,,,,,,,,,,,,,0.0
452,,,,,,,,,,,,,,,0.0
694,,,,,,,,,,,,,,,0.0
332,,,,0.0,,,0.0,,,,,0.0,,,0.0
695,,,,,,,,,,,,,,,0.0
333,,,,,,,,,,,1.0,1.0,,,1.0
455,,,,,,,,,,,,,,,0.0
335,,,,0.0,,,,,,,1.0,1.0,1.62,,0.0
456,1.0,,,1.0,,,1.0,,,,0.0,1.0,,,0.0
336,,,,,,,,,,,,,,,0.0
457,,,,0.0,,,,,,,,,,,1.0
699,,,,,,,,,,,,,,,0.0
216,,,,,,,1.0,,,,,1.0,,,0.0
458,,,,,,,,,,,,,,,0.0
217,,,,,,,,,,,,,,,0.0
461,,,,1.0,,,,,,,,,,0.0,1.0
582,,,,,,,,,,,,,0.7,,0.0
341,1.0,,,,0.64,,,,0.0,,,,,,1.0
583,1.0,,,,,,,,,,,0.0,0.7,,0.0
342,,,,,,,,,,,,,,,1.0
584,,,,,,,,,,,,,,,0.0
101,,,,,,,,,,,,,,,1.0
343,,,,0.0,,,,,,,,,,,1.0
464,,,,,,,,,,,,,,,1.0
223,,,,,,,,,,,,,,,0.0
465,,,,,,,1.0,,1.0,,1.0,,0.7,1.0,1.0
586,,,,,,,,,,,,,,,0.0
224,,,,,,,,,,,1.0,,0.7,,0.0
345,,,,,,,,,,,,,,,1.0
466,,,,,,,,,,,,,,,0.0
587,,,,,,,,,,,,,,,0.0
225,,,,,,,,,,,,1.0,0.72,,1.0
467,,,,,,,,,,,,,,,0.0
105,,,,,,,,,,,0.0,1.0,,1.0,1.0
347,,,,,,,,,,,,,,,1.0
468,,,,,,,0.0,,,,,0.0,,,0.0
589,,,,,,,,,,,,0.0,,,1.0
106,,,,,,,1.0,,1.0,0.7,1.0,,1.4,1.0,1.0
227,,,,,,,,,,,,,,,0.0
469,,,,,,,,,,,,,,,1.0
107,,,,,,,,,,,,,,,0.0
470,,,,,,,,,,,,,,,0.0
350,,,,0.0,,,,,,,,,0.81,,0.0
592,,,,,,,,0.75,0.0,,,,,,0.0
231,,,,,,,,,,,,,,,0.0
473,,,,,,,,,,,,0.0,,,1.0
594,,,,,,,,,,,,,,,0.0
353,,,,,,,,,,,,1.0,5.039999999999999,,1.0
475,,,,,,,,,,,,,,,0.0
114,,,,,,,,,,,,,,,0.0
356,,,,,,,,,,,,,,,1.0
477,,,,,,,,,,,,,,,0.0
357,,,,,,,,,,,,,,,1.0
358,,,,,,,,,,,,0.0,,,0.0
117,,,,,,,,,,,,,,,1.0
238,,,,,,,,,,,,,,,1.0
13,,,,,,,,,,,,,,,0.0
19,,,,,,,,,,,,,,,0.0
480,,,,,,,,,,,,0.0,,,0.0
360,,,,1.0,0.7,,1.0,,1.0,0.7,2.0,1.0,3.55,2.0,1.0
240,,,,,,,,,,,,1.0,,,1.0
483,,,,,,,,,,,,,,,0.0
121,,,,,,,,,,,,,,,0.0
484,,,,,,,,,,,,,,,1.0
243,,,,,,,,,,,,,,,0.0
364,,,,,,,,,0.0,,,,0.6,,0.0
123,,,,,,0.0,0.0,,,,,0.0,,,1.0
244,,,,,,,,,,,0.0,1.0,,1.0,1.0
365,,,,,,,,,,,,,,,0.0
486,,,,,,,,,,,,,,,0.0
124,,,,,,,,,,,,,0.7,,0.0
245,,,,,,,,,,,,,,,1.0
125,,,,,,,,,,,1.0,,,,0.0
367,1.0,,,1.0,,,,,,,,1.0,,,1.0
368,,,,,,,,,,,,,,,0.0
127,,,,,,,,,,,,,,,1.0
369,,,,,,,,,,,,,,,0.0
128,,,,,,,,,,,,,,,0.0
129,,,,,,,,,,,,,,,0.0
20,,,,,,,,,1.0,,,,2.0999999999999996,3.0,1.0
27,,,,,,,,,,,,,,,0.0
28,,,,,,,,,,,,,,,0.0
371,,,,,,,,,,,,,,,0.0
372,0.0,0.72,,,,0.0,1.0,,,,,1.0,1.75,,1.0
493,,,,,,,,,,,,,,,1.0
131,,,,,,,,,,,,,,1.0,1.0
494,,,,,,,,,,,,,,,1.0
133,,,,,,,,,,,,1.0,0.72,,1.0
375,,,,,,,,,,,,,,,0.0
376,,,,,,,,,,,,,,,1.0
497,,,,,,,,,,,,,,,0.0
377,,,,,,,,,,,,,,,0.0
498,,,,,,,,,,,,,,,0.0
257,,,,,,,,,,,,,,,0.0
258,,,,,,,,,,,,,,,1.0
379,,,,,,,,,1.0,,,,,1.0,0.0
35,,,,,,,,,,,,,,,0.0
36,2.0,,,,0.64,,0.0,,0.0,,,,0.65,,1.0
39,,,,,,,,,,,,,,,0.0
261,,,,,,,,,,,,,,,0.0
141,,,,0.0,,,,,,,,0.0,0.75,,0.0
383,,,,,,,,,,,,,,,0.0
384,,,,,,,,,,,,,0.7,,1.0
265,,,1.0,1.0,,,,,,,0.0,1.0,0.8,1.0,1.0
387,,,,,,,,,,,,,,,1.0
267,,,,,,,,,1.0,,,,0.7,2.0,0.0
269,,,,,,,,,,,,,,,0.0
40,,,,,,,,,,,,,,,0.0
41,,,,,,,,,,,,,,,0.0
46,,,0.0,,,,,,,,,,,,1.0
47,,,,,,,,,,,,,,,1.0
49,,,,,,,,,,,,,,,0.0
270,,,,0.0,,,,0.82,,,,,,1.0,1.0
150,,,,,,,1.0,,,,,1.0,,,1.0
271,,,,,,,,,,,,,,,0.0
153,,,,,,,,,,,,,,,0.0
274,,,,,,,,,,,,,,,0.0
397,,,,0.0,,,0.0,,,,,1.0,0.7,,1.0
398,,,,0.0,,,0.0,,,,,0.0,0.7,,0.0
157,,,,,,,,,,,,,,,1.0
278,,,,,,,1.0,,1.0,,1.0,,0.7,1.0,1.0
399,,,,,,,,,,,,,,,0.0
158,,,,0.0,,,0.0,,,,,1.0,0.7,,1.0
51,,,,,,,,,,,,,,,1.0
53,,,,,,,,,,,,,,,1.0
55,,,0.0,0.0,,,,,,,,0.0,0.75,,1.0
58,,,,,,,,,,,,,,,1.0
280,,,,,,,,,,,,,0.7,,0.0
281,,,,,,,,,,,,,0.7,,0.0
283,,,,,,,,,,,,,,,0.0
163,,,,0.0,,,,,,,,1.0,0.75,,1.0
285,,,,,,,,,,,,,,,1.0
1701,,,,,,,,,,,,,,,0.0
287,,,,,,,,,,,,,,,0.0
289,,,,,,,,,,,,,,,0.0
1708,1.0,,,,,,,,,,,0.0,0.7,,1.0
60,,,,,,,,,,,,,,,0.0
61,,,,,,,,,,,,,,,0.0
1706,,,,,,,,,,,,,,,1.0
